Id,GP,G,A,P_M,PIM,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI_GP,DOB,First_Season,Ht,Wt,DZ_FOL,DZ_FOW,EV_FOL,EV_FOW,FOL,FOW,NZ_FOL,NZ_FOW,OZ_FO,OZ_FOL,OZ_FOW,PP_FOL,PP_FOW,SH_FOL,SH_FOW,G_Msct,Major,Match,Minor,Msct,Net_Pen,Net_Pen_60,PIMGP,PIMTOIPct,Pen_Drawn,Pen_Drawn_60,Pen_Taken,Pen_Taken_60,Salary
0,59,9,13,16,36,9,22,0,0,0,0,0,1,67,11.3333333333333,1991-02-07,20122013,74,203,3,2,7,10,8,11,4,4,6,1,5,1,0,0,1,0,0,0,13,1,-4,-0.36,0:36,5.4,10,0.9,14,1.26,41093.0
1,70,8,26,22,38,7,27,1,7,0,0,0,0,131,18.9,1989-01-29,20102011,72,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,-11,-0.5,0:32,2.9,8,0.36,19,0.86,208333.33333333334
2,39,8,15,7,4,7,22,0,0,1,1,0,1,98,15.5833333333333,1994-10-10,20192020,75,195,1,0,1,1,1,3,0,2,1,0,1,0,0,0,2,0,0,0,2,0,3,0.30000000000000004,0:06,0.7,5,0.49,2,0.2,91666.66666666667
3,57,2,6,9,14,1,7,0,0,1,1,0,0,63,18.0,1986-06-08,20062007,72,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,-1,-0.06,0:14,1.4,6,0.35,7,0.41,125000.0
4,69,23,55,5,30,18,49,5,29,0,0,1,3,152,18.7666666666667,1993-06-04,20122013,73,202,2,0,33,21,37,24,16,12,31,19,12,4,3,0,0,0,0,0,15,0,6,0.28,0:26,2.3,21,0.97,15,0.69,441666.6666666667
5,42,6,4,-4,6,6,9,0,0,0,1,0,0,60,12.9,1995-03-31,20182019,70,185,1,0,8,4,10,4,4,2,7,5,2,0,0,2,0,0,0,0,3,0,6,0.66,0:08,1.1,9,1.0,3,0.33,66666.66666666667
6,70,8,18,-8,97,8,23,0,2,0,1,0,2,102,15.9166666666667,1993-02-26,20142015,74,203,217,180,265,279,406,393,103,121,178,86,92,21,18,120,96,0,5,0,21,3,-3,-0.16,1:23,8.7,26,1.4,29,1.56,70833.33333333333
7,56,4,7,14,37,4,11,0,0,0,0,0,1,65,17.3166666666667,1996-12-22,20172018,72,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,-4,-0.25,0:39,3.8,9,0.56,13,0.8,72843.75
8,48,4,3,-6,17,4,7,0,0,0,0,0,0,49,12.1,1992-02-25,20132014,73,194,3,0,1,1,6,1,2,1,1,1,0,0,0,5,0,0,1,0,6,0,-4,-0.41,0:21,2.9,3,0.31,7,0.72,58333.333333333336
9,45,0,5,-11,12,0,5,0,0,0,0,0,0,58,11.3666666666667,1993-01-04,20182019,73,203,1,0,2,1,2,2,0,2,1,1,0,0,0,0,1,0,0,0,6,0,-4,-0.47,0:16,2.4,2,0.23,6,0.7,58333.333333333336
